Date : 2024-05-20 20:04:18
Directory : d:\program\cpp_program\SoftRenderer_v2.0
Total : 84 files,  49988 codes, 10821 comments, 7341 blanks, all 68150 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
| d:\program\cpp_program\SoftRenderer_v2.0\src\Color.cpp                                                                 | C++         |         27 |          0 |          5 |         32 |
| d:\program\cpp_program\SoftRenderer_v2.0\src\Scene.cpp                                                                 | C++         |         32 |          0 |          7 |         39 |
| d:\program\cpp_program\SoftRenderer_v2.0\src\component\Component.cpp                                                   | C++         |          9 |          0 |          2 |         11 |
| d:\program\cpp_program\SoftRenderer_v2.0\src\component\Mesh.cpp                                                        | C++         |        243 |         21 |         61 |        325 |
| d:\program\cpp_program\SoftRenderer_v2.0\src\component\MeshRenderer.cpp                                                | C++         |         76 |          5 |         24 |        105 |
| d:\program\cpp_program\SoftRenderer_v2.0\src\component\Renderer.cpp                                                    | C++         |         10 |        264 |          8 |        282 |
| d:\program\cpp_program\SoftRenderer_v2.0\src\component\Transform.cpp                                                   | C++         |         20 |          0 |          6 |         26 |
| d:\program\cpp_program\SoftRenderer_v2.0\src\gameobject\Camera.cpp                                                     | C++         |         79 |        122 |          9 |        210 |
| d:\program\cpp_program\SoftRenderer_v2.0\src\gameobject\GameObject.cpp                                                 | C++         |         12 |          0 |          5 |         17 |
| d:\program\cpp_program\SoftRenderer_v2.0\src\gameobject\Light.cpp                                                      | C++         |          1 |          0 |          4 |          5 |
| d:\program\cpp_program\SoftRenderer_v2.0\src\math\MathUtil.cpp                                                         | C++         |         52 |          8 |         16 |         76 |
| d:\program\cpp_program\SoftRenderer_v2.0\src\math\MinHeap.cpp                                                          | C++         |         67 |          0 |         15 |         82 |
| d:\program\cpp_program\SoftRenderer_v2.0\src\pipeline\ApplicationStage.cpp                                             | C++         |         23 |          0 |          5 |         28 |
| d:\program\cpp_program\SoftRenderer_v2.0\src\pipeline\Buffer.cpp                                                       | C++         |        118 |          7 |         17 |        142 |
| d:\program\cpp_program\SoftRenderer_v2.0\src\pipeline\GeometricStage.cpp                                               | C++         |         32 |          0 |          6 |         38 |
| d:\program\cpp_program\SoftRenderer_v2.0\src\pipeline\RasterizationStage.cpp                                           | C++         |         13 |          3 |          6 |         22 |
| d:\program\cpp_program\SoftRenderer_v2.0\src\pipeline\RenderPipeline.cpp                                               | C++         |        313 |         16 |         80 |        409 |
| d:\program\cpp_program\SoftRenderer_v2.0\src\shader\Shader.cpp                                                         | C++         |        159 |         33 |         28 |        220 |
| d:\program\cpp_program\SoftRenderer_v2.0\src\ui.cpp                                                                    | C++         |        219 |          5 |         64 |        288 |
| Total                                                                                                                  |             |     49,988 |     10,821 |      7,341 |     68,150 |
+------------------------------------------------------------------------------------------------------------------------+-------------+------------+------------+------------+------------+
