"filename", "language", "Markdown", "C++", "Ini", "JSON", "CMake", "Makefile", "TypeScript", "C", "YAML", "CMake Cache", "comment", "blank", "total"
"d:\program\cpp_program\SoftRenderer_v2.0\Build\CMakeFiles\SoftRenderer.dir\cmake_clean.cmake", "CMake", 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 2, 66
"d:\program\cpp_program\SoftRenderer_v2.0\Build\CMakeFiles\SoftRenderer.dir\compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 3
"d:\program\cpp_program\SoftRenderer_v2.0\Build\Makefile", "Makefile", 0, 0, 0, 0, 0, 555, 0, 0, 0, 0, 125, 203, 883
"d:\program\cpp_program\SoftRenderer_v2.0\Build\cmake_install.cmake", "CMake", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 8, 50
"d:\program\cpp_program\SoftRenderer_v2.0\Build\compile_commands.json", "JSON", 0, 0, 0, 164, 0, 0, 0, 0, 0, 0, 0, 0, 164
"d:\program\cpp_program\SoftRenderer_v2.0\Build\imgui.ini", "Ini", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17
"d:\program\cpp_program\SoftRenderer_v2.0\TODO.md", "Markdown", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"d:\program\cpp_program\SoftRenderer_v2.0\imgui\imconfig.h", "C++", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 110, 21, 132
"d:\program\cpp_program\SoftRenderer_v2.0\imgui\imgui.cpp", "C++", 0, 11313, 0, 0, 0, 0, 0, 0, 0, 0, 2880, 1599, 15792
"d:\program\cpp_program\SoftRenderer_v2.0\imgui\imgui.h", "C++", 0, 2063, 0, 0, 0, 0, 0, 0, 0, 0, 959, 305, 3327
"d:\program\cpp_program\SoftRenderer_v2.0\imgui\imgui_demo.cpp", "C++", 0, 6845, 0, 0, 0, 0, 0, 0, 0, 0, 937, 786, 8568
"d:\program\cpp_program\SoftRenderer_v2.0\imgui\imgui_draw.cpp", "C++", 0, 3669, 0, 0, 0, 0, 0, 0, 0, 0, 476, 478, 4623
"d:\program\cpp_program\SoftRenderer_v2.0\imgui\imgui_impl_dx11.cpp", "C++", 0, 472, 0, 0, 0, 0, 0, 0, 0, 0, 76, 58, 606
"d:\program\cpp_program\SoftRenderer_v2.0\imgui\imgui_impl_dx11.h", "C++", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 13, 8, 33
"d:\program\cpp_program\SoftRenderer_v2.0\imgui\imgui_impl_win32.cpp", "C++", 0, 697, 0, 0, 0, 0, 0, 0, 0, 0, 148, 76, 921
"d:\program\cpp_program\SoftRenderer_v2.0\imgui\imgui_impl_win32.h", "C++", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 28, 10, 53
"d:\program\cpp_program\SoftRenderer_v2.0\imgui\imgui_internal.h", "C++", 0, 2692, 0, 0, 0, 0, 0, 0, 0, 0, 521, 374, 3587
"d:\program\cpp_program\SoftRenderer_v2.0\imgui\imgui_tables.cpp", "C++", 0, 2962, 0, 0, 0, 0, 0, 0, 0, 0, 957, 479, 4398
"d:\program\cpp_program\SoftRenderer_v2.0\imgui\imgui_widgets.cpp", "C++", 0, 6769, 0, 0, 0, 0, 0, 0, 0, 0, 1166, 1038, 8973
"d:\program\cpp_program\SoftRenderer_v2.0\imgui\imstb_rectpack.h", "C++", 0, 324, 0, 0, 0, 0, 0, 0, 0, 0, 229, 75, 628
"d:\program\cpp_program\SoftRenderer_v2.0\imgui\imstb_textedit.h", "C++", 0, 811, 0, 0, 0, 0, 0, 0, 0, 0, 464, 167, 1442
"d:\program\cpp_program\SoftRenderer_v2.0\imgui\imstb_truetype.h", "C++", 0, 3485, 0, 0, 0, 0, 0, 0, 0, 0, 1010, 591, 5086
"d:\program\cpp_program\SoftRenderer_v2.0\include\Color.hpp", "C++", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 24
"d:\program\cpp_program\SoftRenderer_v2.0\include\Scene.hpp", "C++", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26
"d:\program\cpp_program\SoftRenderer_v2.0\include\Singleton.hpp", "C++", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 30
"d:\program\cpp_program\SoftRenderer_v2.0\include\component\Component.hpp", "C++", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 18
"d:\program\cpp_program\SoftRenderer_v2.0\include\component\Mesh.hpp", "C++", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13, 66
"d:\program\cpp_program\SoftRenderer_v2.0\include\component\MeshRenderer.hpp", "C++", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 30
"d:\program\cpp_program\SoftRenderer_v2.0\include\component\Renderer.hpp", "C++", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 32, 4, 45
"d:\program\cpp_program\SoftRenderer_v2.0\include\component\Transform.hpp", "C++", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
