"filename", "language", "C++", "JSON", "comment", "blank", "total"
"d:\program\cpp_program\SoftRenderer_v2.0\Build\.cmake\api\v1\reply\index-2024-05-20T11-26-08-0547.json", "JSON", 0, -132, 0, -1, -133
"d:\program\cpp_program\SoftRenderer_v2.0\Build\.cmake\api\v1\reply\index-2024-05-27T05-55-27-0652.json", "JSON", 0, 132, 0, 1, 133
"d:\program\cpp_program\SoftRenderer_v2.0\src\component\Mesh.cpp", "C++", 47, 0, 6, 3, 56
"Total", "-", 47, 0, 6, 3, 56
